{'01044099999': -10.0, '02293099999': -27.6}
         410333 function calls (405725 primitive calls) in 7.218 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.050    0.050 parser.py:1(<module>)
     10/8    0.000    0.000    0.049    0.006 <frozen importlib._bootstrap_external>:1287(create_module)
     10/8    0.039    0.004    0.049    0.006 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.049    0.049 feedparser.py:1(<module>)
        1    0.000    0.000    0.046    0.046 cookiejar.py:1(<module>)
        1    0.000    0.000    0.045    0.045 _policybase.py:1(<module>)
    67530    0.045    0.000    0.045    0.000 {method 'index' of 'list' objects}
        1    0.000    0.000    0.038    0.038 cd.py:1(<module>)
       71    0.000    0.000    0.036    0.001 _parser.py:969(parse)
        1    0.000    0.000    0.036    0.036 ssl_.py:1(<module>)
   340/71    0.002    0.000    0.035    0.000 _parser.py:452(_parse_sub)
   457/76    0.014    0.000    0.035    0.000 _parser.py:512(_parse)
  448/444    0.010    0.000    0.034    0.000 {built-in method builtins.__build_class__}
        2    0.000    0.000    0.034    0.017 socket.py:959(getaddrinfo)
        2    0.033    0.017    0.033    0.017 {built-in method _socket.getaddrinfo}
        1    0.000    0.000    0.033    0.033 certs.py:1(<module>)
      141    0.003    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
     1911    0.021    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
        1    0.003    0.003    0.031    0.031 packages.py:1(<module>)
      141    0.029    0.000    0.029    0.000 {built-in method marshal.loads}
        2    0.000    0.000    0.028    0.014 sessions.py:457(prepare_request)
        2    0.000    0.000    0.025    0.012 utils.py:204(get_netrc_auth)
     1169    0.008    0.000    0.024    0.000 response.py:256(get)
        2    0.000    0.000    0.024    0.012 request.py:1(<module>)
       71    0.000    0.000    0.023    0.000 _compiler.py:573(_code)
      202    0.000    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      185    0.000    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.000    0.000    0.021    0.021 url.py:1(<module>)
        2    0.000    0.000    0.020    0.010 abc.py:1(<module>)
   828/71    0.006    0.000    0.019    0.000 _compiler.py:37(_compile)
    33945    0.018    0.000    0.018    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.018    0.018 ssl.py:1(<module>)
    48359    0.018    0.000    0.018    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.017    0.017 socket.py:1(<module>)
        1    0.000    0.000    0.017    0.017 header.py:1(<module>)
      141    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
